gs_name,gene_symbol,gs_exact_source
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkag2,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkag3,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Prkcq,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Ptpn11,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Rela,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Rxra,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Rxrb,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Rxrg,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Slc2a1,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Slc2a4,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Socs3,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Stat3,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Stk11,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Tnf,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Tnfrsf1a,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Tnfrsf1b,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Tradd,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Traf2,hsa04920
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Abat,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Acy3,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Adsl,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Adssl1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Adss,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Agxt,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Agxt2,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Aldh4a1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Aldh5a1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Asl,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Asns,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Aspa,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Ass1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Cad,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Cps1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Ddo,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gad1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gad2,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gfpt1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gfpt2,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gls,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gls2,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Glud1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Glud1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Glul,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Got1,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Got2,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gpt,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Gpt2,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Il4i1b,hsa00250
